Model,Accuracy,Precision,Recall,F1,AUC,Project
GaussianNB,0.5597315436241612,0.6364580058132561,0.7225746598144096,0.5382592848812191,0.8796611412948924,tensorflow
MultinomialNB,0.8416107382550335,0.8008404982744279,0.5757291506154723,0.5884392682386794,0.8875647044297151,tensorflow
LogisticRegression,0.878523489932886,0.8820668776180985,0.6839846655828746,0.7244121544807186,0.9284927450225231,tensorflow
RandomForest,0.8469798657718121,0.8490971255987109,0.5808448980174626,0.5967510492074065,0.9047810470421052,tensorflow
LinearSVC,0.8721476510067114,0.8776034063408098,0.6626238411656693,0.7022535708532255,0.5,tensorflow
SGDClassifier,0.8288590604026845,0.4514965843720038,0.5253187613843352,0.4839846172933921,0.5,tensorflow
KNeighborsClassifier,0.8305369127516778,0.7093970514492648,0.5850891510456886,0.6007327017488309,0.7976089006658361,tensorflow
XGBoost,0.9003355704697986,0.8497517963102463,0.7898716071920097,0.8134904535338302,0.9264507888974471,tensorflow
LightGBM,0.9050335570469799,0.8651420603206006,0.7884019183782673,0.818249679475516,0.9318152964643162,tensorflow
