Model,Accuracy,Precision,Recall,F1,AUC,Project
GaussianNB,0.6009615384615385,0.6147010902067144,0.7524714886261299,0.5441777895640351,0.8876058467444604,incubator-mxnet
MultinomialNB,0.8903846153846153,0.767247142505296,0.7094426783031018,0.7306975420277456,0.8805338149666417,incubator-mxnet
LogisticRegression,0.8701923076923077,0.485040141896938,0.5038461538461538,0.4723610914145989,0.9039079009999563,incubator-mxnet
RandomForest,0.8663461538461539,0.5520857709930813,0.5071334915084915,0.4830481176508231,0.8747800694071136,incubator-mxnet
LinearSVC,0.8721153846153845,0.5858943241224794,0.5118589743589743,0.48767751774722556,0.5,incubator-mxnet
SGDClassifier,0.8692307692307694,0.4346153846153847,0.5,0.4649776844435631,0.5,incubator-mxnet
KNeighborsClassifier,0.8807692307692306,0.7244226055713018,0.6353166890520658,0.6592671500834572,0.8483482456672032,incubator-mxnet
XGBoost,0.8971153846153846,0.8072397452460951,0.6694173708771616,0.7045023310210439,0.8519916894208581,incubator-mxnet
LightGBM,0.8740384615384615,0.7056830859960519,0.5955197452031558,0.6153744930723215,0.767408432686112,incubator-mxnet
