Model,Accuracy,Precision,Recall,F1,AUC,Project
GaussianNB,0.503448275862069,0.5644955185988672,0.6298058396879151,0.43091759199982055,0.7214085112153231,caffe
MultinomialNB,0.8775862068965518,0.6553664021164021,0.5836676270250077,0.5922200657205913,0.7349485631214266,caffe
LogisticRegression,0.8948275862068964,0.4474137931034482,0.5,0.4721367112950114,0.7485077664350694,caffe
RandomForest,0.8948275862068964,0.4474137931034482,0.5,0.4721367112950114,0.7079733522581747,caffe
LinearSVC,0.8965517241379309,0.49820024198427093,0.5083333333333334,0.48685612032634706,0.5,caffe
SGDClassifier,0.8982758620689655,0.49901477832512314,0.5166666666666666,0.49801213217043233,0.5,caffe
KNeighborsClassifier,0.8793103448275863,0.47237166191340413,0.5004550894700729,0.4820260187619147,0.7044773134822385,caffe
XGBoost,0.8775862068965516,0.5479905790250619,0.5036569923889569,0.49295309179215546,0.6693792526686535,caffe
LightGBM,0.8741379310344828,0.5924260797672347,0.5333564323568485,0.532740673542354,0.6968753421784777,caffe
