Model,Accuracy,Precision,Recall,F1,AUC
GaussianNB,0.5669154515836231,0.6100252790318101,0.7081145334424149,0.5189987447349991,0.8319146158776402
KNeighborsClassifier,0.8552973611272456,0.6593220977231566,0.564794346047293,0.5694984789747419,0.7679896588403661
LightGBM,0.8779949601720821,0.7377479972817438,0.6503260810673821,0.6695669700824796,0.8250710595372628
LinearSVC,0.8703612320745714,0.6358128642607577,0.5637814007945067,0.5579324302593729,0.5
LogisticRegression,0.8778862985910696,0.659370424070386,0.5915682174439679,0.5916698057826564,0.8709041416817908
MultinomialNB,0.8660924512789313,0.7331166683237487,0.640430073043372,0.6546982730398276,0.8345967606192952
RandomForest,0.8626310491181048,0.6695429095557912,0.5369178206283352,0.5270672474781821,0.8362970748912268
SGDClassifier,0.8567624131540246,0.4601576967460209,0.5184783518827485,0.4843900531539017,0.5
XGBoost,0.8849797562077535,0.7529417690827291,0.6666103949037325,0.6849359926781465,0.8350793263673856
